ticker,company_name,cik,reason
BX,Blackstone Inc.,0001393818,No DEF 14A in date range for FY2023/FY2024
ERIE,Erie Indemnity,0000922621,No DEF 14A in date range for FY2023/FY2024
KKR,KKR & Co.,0001404912,No DEF 14A in date range for FY2023/FY2024
PSKY,Paramount Skydance Corporation,0002041610,No DEF 14A in date range for FY2023/FY2024
Q,Qnity Electronics,0002058873,No DEF 14A in date range for FY2023/FY2024
SNDK,Sandisk,0002023554,No DEF 14A in date range for FY2023/FY2024
