slot,cik,company_name,ticker,industry,form_type,filing_date,accession_number,edgar_url,fiscal_year,source_url,raw_html_path
263,1022079,Quest Diagnostics,DGX,"Secaucus, New Jersey",DEF 14A,2024-04-05,0000930413-24-001247,https://www.sec.gov/Archives/edgar/data/1022079/000093041324001247/c108438_def14a-ixbrl.htm,2023,https://www.sec.gov/Archives/edgar/data/1022079/000093041324001247/c108438_def14a-ixbrl.htm,
264,1022079,Quest Diagnostics,DGX,"Secaucus, New Jersey",DEF 14A,2025-04-04,0000930413-25-001171,https://www.sec.gov/Archives/edgar/data/1022079/000093041325001171/c111937_def14a-ixbrl.htm,2024,https://www.sec.gov/Archives/edgar/data/1022079/000093041325001171/c111937_def14a-ixbrl.htm,
265,882184,D. R. Horton,DHI,"Arlington, Texas",DEF 14A,2023-12-15,0001193125-23-296787,https://www.sec.gov/Archives/edgar/data/882184/000119312523296787/d492945ddef14a.htm,2023,https://www.sec.gov/Archives/edgar/data/882184/000119312523296787/d492945ddef14a.htm,
266,882184,D. R. Horton,DHI,"Arlington, Texas",DEF 14A,2024-12-13,0001193125-24-278379,https://www.sec.gov/Archives/edgar/data/882184/000119312524278379/d832781ddef14a.htm,2024,https://www.sec.gov/Archives/edgar/data/882184/000119312524278379/d832781ddef14a.htm,
267,313616,Danaher Corporation,DHR,"Washington, D.C.",DEF 14A,2024-03-27,0001308179-24-000303,https://www.sec.gov/Archives/edgar/data/313616/000130817924000303/ldhr2024_def14a.htm,2023,https://www.sec.gov/Archives/edgar/data/313616/000130817924000303/ldhr2024_def14a.htm,
268,313616,Danaher Corporation,DHR,"Washington, D.C.",DEF 14A,2025-03-26,0000313616-25-000081,https://www.sec.gov/Archives/edgar/data/313616/000031361625000081/dhr-20250326.htm,2024,https://www.sec.gov/Archives/edgar/data/313616/000031361625000081/dhr-20250326.htm,
269,1744489,Walt Disney Company (The),DIS,"Burbank, California",DEF 14A,2025-01-23,0001744489-25-000059,https://www.sec.gov/Archives/edgar/data/1744489/000174448925000059/dis-20250123.htm,2024,https://www.sec.gov/Archives/edgar/data/1744489/000174448925000059/dis-20250123.htm,
270,1297996,Digital Realty,DLR,"Austin, Texas",DEF 14A,2024-04-26,0001308179-24-000607,https://www.sec.gov/Archives/edgar/data/1297996/000130817924000607/ldlr2024_def14a.htm,2023,https://www.sec.gov/Archives/edgar/data/1297996/000130817924000607/ldlr2024_def14a.htm,
271,1297996,Digital Realty,DLR,"Austin, Texas",DEF 14A,2025-04-25,0001308179-25-000509,https://www.sec.gov/Archives/edgar/data/1297996/000130817925000509/dlr000000-def14a.htm,2024,https://www.sec.gov/Archives/edgar/data/1297996/000130817925000509/dlr000000-def14a.htm,
272,935703,Dollar Tree,DLTR,"Chesapeake, Virginia",DEF 14A,2024-05-07,0001104659-24-057684,https://www.sec.gov/Archives/edgar/data/935703/000110465924057684/tm242970d2_def14a.htm,2023,https://www.sec.gov/Archives/edgar/data/935703/000110465924057684/tm242970d2_def14a.htm,
273,935703,Dollar Tree,DLTR,"Chesapeake, Virginia",DEF 14A,2025-05-06,0001104659-25-044819,https://www.sec.gov/Archives/edgar/data/935703/000110465925044819/tm252256-1_def14a.htm,2024,https://www.sec.gov/Archives/edgar/data/935703/000110465925044819/tm252256-1_def14a.htm,
274,765880,Healthpeak Properties,DOC,"Denver, Colorado",DEF 14A,2024-03-13,0001308179-24-000116,https://www.sec.gov/Archives/edgar/data/765880/000130817924000116/lpeak2024_def14a.htm,2023,https://www.sec.gov/Archives/edgar/data/765880/000130817924000116/lpeak2024_def14a.htm,
275,765880,Healthpeak Properties,DOC,"Denver, Colorado",DEF 14A,2025-03-12,0001308179-25-000098,https://www.sec.gov/Archives/edgar/data/765880/000130817925000098/doc013291-def14a.htm,2024,https://www.sec.gov/Archives/edgar/data/765880/000130817925000098/doc013291-def14a.htm,
276,29905,Dover Corporation,DOV,"Downers Grove, Illinois",DEF 14A,2024-03-21,0001193125-24-073302,https://www.sec.gov/Archives/edgar/data/29905/000119312524073302/d826597ddef14a.htm,2023,https://www.sec.gov/Archives/edgar/data/29905/000119312524073302/d826597ddef14a.htm,
277,29905,Dover Corporation,DOV,"Downers Grove, Illinois",DEF 14A,2025-03-20,0001193125-25-058312,https://www.sec.gov/Archives/edgar/data/29905/000119312525058312/d781654ddef14a.htm,2024,https://www.sec.gov/Archives/edgar/data/29905/000119312525058312/d781654ddef14a.htm,
278,1751788,Dow Inc.,DOW,"Midland, Michigan",DEF 14A,2024-03-01,0001193125-24-055895,https://www.sec.gov/Archives/edgar/data/1751788/000119312524055895/d518047ddef14a.htm,2023,https://www.sec.gov/Archives/edgar/data/1751788/000119312524055895/d518047ddef14a.htm,
279,1751788,Dow Inc.,DOW,"Midland, Michigan",DEF 14A,2025-02-28,0000950170-25-029994,https://www.sec.gov/Archives/edgar/data/1751788/000095017025029994/dow-20250228.htm,2024,https://www.sec.gov/Archives/edgar/data/1751788/000095017025029994/dow-20250228.htm,
280,1286681,Domino's,DPZ,"Ann Arbor, Michigan",DEF 14A,2024-03-15,0001193125-24-068579,https://www.sec.gov/Archives/edgar/data/1286681/000119312524068579/d775903ddef14a.htm,2023,https://www.sec.gov/Archives/edgar/data/1286681/000119312524068579/d775903ddef14a.htm,
281,1286681,Domino's,DPZ,"Ann Arbor, Michigan",DEF 14A,2025-03-14,0001193125-25-054426,https://www.sec.gov/Archives/edgar/data/1286681/000119312525054426/d104247ddef14a.htm,2024,https://www.sec.gov/Archives/edgar/data/1286681/000119312525054426/d104247ddef14a.htm,
282,940944,Darden Restaurants,DRI,"Orlando, Florida",DEF 14A,2024-08-05,0000950170-24-090429,https://www.sec.gov/Archives/edgar/data/940944/000095017024090429/dri-20240801.htm,2023,https://www.sec.gov/Archives/edgar/data/940944/000095017024090429/dri-20240801.htm,
283,936340,DTE Energy,DTE,"Detroit, Michigan",DEF 14A,2024-03-07,0000936340-24-000100,https://www.sec.gov/Archives/edgar/data/936340/000093634024000100/dte-20240307.htm,2023,https://www.sec.gov/Archives/edgar/data/936340/000093634024000100/dte-20240307.htm,
284,936340,DTE Energy,DTE,"Detroit, Michigan",DEF 14A,2025-03-13,0000936340-25-000081,https://www.sec.gov/Archives/edgar/data/936340/000093634025000081/dte-20250313.htm,2024,https://www.sec.gov/Archives/edgar/data/936340/000093634025000081/dte-20250313.htm,
285,1326160,Duke Energy,DUK,"Charlotte, North Carolina",DEF 14A,2024-03-22,0001104659-24-037589,https://www.sec.gov/Archives/edgar/data/1326160/000110465924037589/tm2327443d10-def14a.htm,2023,https://www.sec.gov/Archives/edgar/data/1326160/000110465924037589/tm2327443d10-def14a.htm,
286,1326160,Duke Energy,DUK,"Charlotte, North Carolina",DEF 14A,2025-03-14,0001104659-25-023754,https://www.sec.gov/Archives/edgar/data/1326160/000110465925023754/tm2430172-3_def14a.htm,2024,https://www.sec.gov/Archives/edgar/data/1326160/000110465925023754/tm2430172-3_def14a.htm,
287,927066,DaVita,DVA,"Denver, Colorado",DEF 14A,2024-04-26,0000927066-24-000078,https://www.sec.gov/Archives/edgar/data/927066/000092706624000078/dva-20240426.htm,2023,https://www.sec.gov/Archives/edgar/data/927066/000092706624000078/dva-20240426.htm,
288,927066,DaVita,DVA,"Denver, Colorado",DEF 14A,2025-04-24,0000927066-25-000076,https://www.sec.gov/Archives/edgar/data/927066/000092706625000076/dva-20250424.htm,2024,https://www.sec.gov/Archives/edgar/data/927066/000092706625000076/dva-20250424.htm,
289,1090012,Devon Energy,DVN,"Oklahoma City, Oklahoma",DEF 14A,2024-04-25,0001104659-24-051304,https://www.sec.gov/Archives/edgar/data/1090012/000110465924051304/tm2328947d4_def14a.htm,2023,https://www.sec.gov/Archives/edgar/data/1090012/000110465924051304/tm2328947d4_def14a.htm,
290,1090012,Devon Energy,DVN,"Oklahoma City, Oklahoma",DEF 14A,2025-04-23,0001104659-25-037545,https://www.sec.gov/Archives/edgar/data/1090012/000110465925037545/tm252204-6_def14a.htm,2024,https://www.sec.gov/Archives/edgar/data/1090012/000110465925037545/tm252204-6_def14a.htm,
291,1093557,Dexcom,DXCM,"San Diego, California",DEF 14A,2024-04-22,0001093557-24-000070,https://www.sec.gov/Archives/edgar/data/1093557/000109355724000070/dxcm-20240422.htm,2023,https://www.sec.gov/Archives/edgar/data/1093557/000109355724000070/dxcm-20240422.htm,
292,1093557,Dexcom,DXCM,"San Diego, California",DEF 14A,2025-03-27,0001093557-25-000100,https://www.sec.gov/Archives/edgar/data/1093557/000109355725000100/dxcm-20250327.htm,2024,https://www.sec.gov/Archives/edgar/data/1093557/000109355725000100/dxcm-20250327.htm,
293,712515,Electronic Arts,EA,"Redwood City, California",DEF 14A,2024-06-14,0001308179-24-000640,https://www.sec.gov/Archives/edgar/data/712515/000130817924000640/ea4312271-def14a.htm,2023,https://www.sec.gov/Archives/edgar/data/712515/000130817924000640/ea4312271-def14a.htm,
294,712515,Electronic Arts,EA,"Redwood City, California",DEF 14A,2025-06-24,0001308179-25-000556,https://www.sec.gov/Archives/edgar/data/712515/000130817925000556/ea014143-def14a.htm,2024,https://www.sec.gov/Archives/edgar/data/712515/000130817925000556/ea014143-def14a.htm,
295,1065088,eBay Inc.,EBAY,"San Jose, California",DEF 14A,2024-04-25,0001104659-24-051996,https://www.sec.gov/Archives/edgar/data/1065088/000110465924051996/tm2330035d4_def14a.htm,2023,https://www.sec.gov/Archives/edgar/data/1065088/000110465924051996/tm2330035d4_def14a.htm,
296,1065088,eBay Inc.,EBAY,"San Jose, California",DEF 14A,2025-04-30,0001104659-25-042545,https://www.sec.gov/Archives/edgar/data/1065088/000110465925042545/tm2424429-2_def14a.htm,2024,https://www.sec.gov/Archives/edgar/data/1065088/000110465925042545/tm2424429-2_def14a.htm,
297,31462,Ecolab,ECL,"Saint Paul, Minnesota",DEF 14A,2024-03-15,0001104659-24-035047,https://www.sec.gov/Archives/edgar/data/31462/000110465924035047/tm2317069d5_def14a.htm,2023,https://www.sec.gov/Archives/edgar/data/31462/000110465924035047/tm2317069d5_def14a.htm,
298,31462,Ecolab,ECL,"Saint Paul, Minnesota",DEF 14A,2025-03-24,0001104659-25-027292,https://www.sec.gov/Archives/edgar/data/31462/000110465925027292/tm2425999-8_def14a.htm,2024,https://www.sec.gov/Archives/edgar/data/31462/000110465925027292/tm2425999-8_def14a.htm,
299,1047862,Consolidated Edison,ED,"New York City, New York",DEF 14A,2024-04-10,0001140361-24-019096,https://www.sec.gov/Archives/edgar/data/1047862/000114036124019096/ny20018645x1_def14a.htm,2023,https://www.sec.gov/Archives/edgar/data/1047862/000114036124019096/ny20018645x1_def14a.htm,
300,1047862,Consolidated Edison,ED,"New York City, New York",DEF 14A,2025-04-09,0001047862-25-000032,https://www.sec.gov/Archives/edgar/data/1047862/000104786225000032/ed-20250408.htm,2024,https://www.sec.gov/Archives/edgar/data/1047862/000104786225000032/ed-20250408.htm,
301,33185,Equifax,EFX,"Atlanta, Georgia",DEF 14A,2024-03-22,0001308179-24-000243,https://www.sec.gov/Archives/edgar/data/33185/000130817924000243/lefx2024_def14a.htm,2023,https://www.sec.gov/Archives/edgar/data/33185/000130817924000243/lefx2024_def14a.htm,
302,33185,Equifax,EFX,"Atlanta, Georgia",DEF 14A,2025-03-28,0001104659-25-029348,https://www.sec.gov/Archives/edgar/data/33185/000110465925029348/tm2423995d11_def14a.htm,2024,https://www.sec.gov/Archives/edgar/data/33185/000110465925029348/tm2423995d11_def14a.htm,
303,1095073,Everest Group,EG,"Hamilton, Bermuda",DEF 14A,2024-04-12,0001095073-24-000018,https://www.sec.gov/Archives/edgar/data/1095073/000109507324000018/eg-20240411.htm,2023,https://www.sec.gov/Archives/edgar/data/1095073/000109507324000018/eg-20240411.htm,
304,1095073,Everest Group,EG,"Hamilton, Bermuda",DEF 14A,2025-04-11,0001095073-25-000035,https://www.sec.gov/Archives/edgar/data/1095073/000109507325000035/eg-20250411.htm,2024,https://www.sec.gov/Archives/edgar/data/1095073/000109507325000035/eg-20250411.htm,
305,827052,Edison International,EIX,"Rosemead, California",DEF 14A,2024-03-15,0001558370-24-003398,https://www.sec.gov/Archives/edgar/data/827052/000155837024003398/eix-20240425xdef14a.htm,2023,https://www.sec.gov/Archives/edgar/data/827052/000155837024003398/eix-20240425xdef14a.htm,
306,827052,Edison International,EIX,"Rosemead, California",DEF 14A,2025-03-14,0001558370-25-003002,https://www.sec.gov/Archives/edgar/data/827052/000155837025003002/eix-20250424xdef14a.htm,2024,https://www.sec.gov/Archives/edgar/data/827052/000155837025003002/eix-20250424xdef14a.htm,
307,1001250,Estée Lauder Companies (The),EL,"New York City, New York",DEF 14A,2023-09-28,0001104659-23-104591,https://www.sec.gov/Archives/edgar/data/1001250/000110465923104591/tm2323170d2_def14a.htm,2023,https://www.sec.gov/Archives/edgar/data/1001250/000110465923104591/tm2323170d2_def14a.htm,
308,1001250,Estée Lauder Companies (The),EL,"New York City, New York",DEF 14A,2024-09-19,0001104659-24-101259,https://www.sec.gov/Archives/edgar/data/1001250/000110465924101259/tm2421000-2_def14a.htm,2024,https://www.sec.gov/Archives/edgar/data/1001250/000110465924101259/tm2421000-2_def14a.htm,
309,1156039,Elevance Health,ELV,"Indianapolis, Indiana",DEF 14A,2024-03-29,0001156039-24-000050,https://www.sec.gov/Archives/edgar/data/1156039/000115603924000050/elv-20240329.htm,2023,https://www.sec.gov/Archives/edgar/data/1156039/000115603924000050/elv-20240329.htm,
310,1156039,Elevance Health,ELV,"Indianapolis, Indiana",DEF 14A,2025-03-28,0001156039-25-000046,https://www.sec.gov/Archives/edgar/data/1156039/000115603925000046/elv-20250328.htm,2024,https://www.sec.gov/Archives/edgar/data/1156039/000115603925000046/elv-20250328.htm,
311,105634,Emcor,EME,"Norwalk, Connecticut",DEF 14A,2024-04-24,0001140361-24-021607,https://www.sec.gov/Archives/edgar/data/105634/000114036124021607/ny20019304x1_def14a.htm,2023,https://www.sec.gov/Archives/edgar/data/105634/000114036124021607/ny20019304x1_def14a.htm,
312,105634,Emcor,EME,"Norwalk, Connecticut",DEF 14A,2025-04-23,0001140361-25-015031,https://www.sec.gov/Archives/edgar/data/105634/000114036125015031/ny20044392x1_def14a.htm,2024,https://www.sec.gov/Archives/edgar/data/105634/000114036125015031/ny20044392x1_def14a.htm,
313,32604,Emerson Electric,EMR,"Ferguson, Missouri",DEF 14A,2023-12-08,0001193125-23-291718,https://www.sec.gov/Archives/edgar/data/32604/000119312523291718/d552762ddef14a.htm,2023,https://www.sec.gov/Archives/edgar/data/32604/000119312523291718/d552762ddef14a.htm,
314,32604,Emerson Electric,EMR,"Ferguson, Missouri",DEF 14A,2024-12-13,0000032604-24-000057,https://www.sec.gov/Archives/edgar/data/32604/000003260424000057/emr-20241213.htm,2024,https://www.sec.gov/Archives/edgar/data/32604/000003260424000057/emr-20241213.htm,
315,821189,EOG Resources,EOG,"Houston, Texas",DEF 14A,2024-03-28,0001193125-24-080647,https://www.sec.gov/Archives/edgar/data/821189/000119312524080647/d455851ddef14a.htm,2023,https://www.sec.gov/Archives/edgar/data/821189/000119312524080647/d455851ddef14a.htm,
316,821189,EOG Resources,EOG,"Houston, Texas",DEF 14A,2025-03-28,0001193125-25-067233,https://www.sec.gov/Archives/edgar/data/821189/000119312525067233/d898848ddef14a.htm,2024,https://www.sec.gov/Archives/edgar/data/821189/000119312525067233/d898848ddef14a.htm,
317,1352010,EPAM Systems,EPAM,"Newtown, Pennsylvania",DEF 14A,2024-04-16,0001193125-24-097726,https://www.sec.gov/Archives/edgar/data/1352010/000119312524097726/d636293ddef14a.htm,2023,https://www.sec.gov/Archives/edgar/data/1352010/000119312524097726/d636293ddef14a.htm,
318,1352010,EPAM Systems,EPAM,"Newtown, Pennsylvania",DEF 14A,2025-04-09,0001140361-25-013035,https://www.sec.gov/Archives/edgar/data/1352010/000114036125013035/edge20041432x2_def14a.htm,2024,https://www.sec.gov/Archives/edgar/data/1352010/000114036125013035/edge20041432x2_def14a.htm,
319,1101239,Equinix,EQIX,"Redwood City, California",DEF 14A,2024-04-12,0001628280-24-016094,https://www.sec.gov/Archives/edgar/data/1101239/000162828024016094/eqix-20240412.htm,2023,https://www.sec.gov/Archives/edgar/data/1101239/000162828024016094/eqix-20240412.htm,
320,1101239,Equinix,EQIX,"Redwood City, California",DEF 14A,2025-04-10,0001628280-25-017318,https://www.sec.gov/Archives/edgar/data/1101239/000162828025017318/eqix-20250410.htm,2024,https://www.sec.gov/Archives/edgar/data/1101239/000162828025017318/eqix-20250410.htm,
321,906107,Equity Residential,EQR,"Chicago, Illinois",DEF 14A,2024-04-16,0000950170-24-044809,https://www.sec.gov/Archives/edgar/data/906107/000095017024044809/eqr-20240416.htm,2023,https://www.sec.gov/Archives/edgar/data/906107/000095017024044809/eqr-20240416.htm,
322,906107,Equity Residential,EQR,"Chicago, Illinois",DEF 14A,2025-04-15,0000950170-25-054259,https://www.sec.gov/Archives/edgar/data/906107/000095017025054259/eqr-20250414.htm,2024,https://www.sec.gov/Archives/edgar/data/906107/000095017025054259/eqr-20250414.htm,
323,33213,EQT Corporation,EQT,"Pittsburgh, Pennsylvania",DEF 14A,2024-03-01,0001104659-24-029592,https://www.sec.gov/Archives/edgar/data/33213/000110465924029592/tm2329632d3_def14a.htm,2023,https://www.sec.gov/Archives/edgar/data/33213/000110465924029592/tm2329632d3_def14a.htm,
324,33213,EQT Corporation,EQT,"Pittsburgh, Pennsylvania",DEF 14A,2025-03-03,0001104659-25-019408,https://www.sec.gov/Archives/edgar/data/33213/000110465925019408/tm252296d4_def14a.htm,2024,https://www.sec.gov/Archives/edgar/data/33213/000110465925019408/tm252296d4_def14a.htm,
325,72741,Eversource Energy,ES,"Hartford, Connecticut",DEF 14A,2024-03-22,0001104659-24-037863,https://www.sec.gov/Archives/edgar/data/72741/000110465924037863/tm242691-d2_def14a.htm,2023,https://www.sec.gov/Archives/edgar/data/72741/000110465924037863/tm242691-d2_def14a.htm,
326,72741,Eversource Energy,ES,"Hartford, Connecticut",DEF 14A,2025-03-21,0001104659-25-026671,https://www.sec.gov/Archives/edgar/data/72741/000110465925026671/tm252357-3_def14a.htm,2024,https://www.sec.gov/Archives/edgar/data/72741/000110465925026671/tm252357-3_def14a.htm,
327,920522,Essex Property Trust,ESS,"San Mateo, California",DEF 14A,2024-03-28,0001140361-24-016195,https://www.sec.gov/Archives/edgar/data/920522/000114036124016195/ny20018132x1_def14a.htm,2023,https://www.sec.gov/Archives/edgar/data/920522/000114036124016195/ny20018132x1_def14a.htm,
328,920522,Essex Property Trust,ESS,"San Mateo, California",DEF 14A,2025-03-28,0001558370-25-003997,https://www.sec.gov/Archives/edgar/data/920522/000155837025003997/tmb-20250513xdef14a.htm,2024,https://www.sec.gov/Archives/edgar/data/920522/000155837025003997/tmb-20250513xdef14a.htm,
329,1551182,Eaton Corporation,ETN,"Dublin, Ireland",DEF 14A,2024-03-15,0001308179-24-000169,https://www.sec.gov/Archives/edgar/data/1551182/000130817924000169/letn2024_def14a.htm,2023,https://www.sec.gov/Archives/edgar/data/1551182/000130817924000169/letn2024_def14a.htm,
330,1551182,Eaton Corporation,ETN,"Dublin, Ireland",DEF 14A,2025-03-14,0001308179-25-000129,https://www.sec.gov/Archives/edgar/data/1551182/000130817925000129/etn013294-def14a.htm,2024,https://www.sec.gov/Archives/edgar/data/1551182/000130817925000129/etn013294-def14a.htm,
331,65984,Entergy,ETR,"New Orleans, Louisiana",DEF 14A,2024-03-22,0000065984-24-000029,https://www.sec.gov/Archives/edgar/data/65984/000006598424000029/etr-20240322.htm,2023,https://www.sec.gov/Archives/edgar/data/65984/000006598424000029/etr-20240322.htm,
332,65984,Entergy,ETR,"New Orleans, Louisiana",DEF 14A,2025-03-21,0000065984-25-000026,https://www.sec.gov/Archives/edgar/data/65984/000006598425000026/etr-20250321.htm,2024,https://www.sec.gov/Archives/edgar/data/65984/000006598425000026/etr-20250321.htm,
333,1711269,Evergy,EVRG,"Kansas City, Missouri",DEF 14A,2024-03-28,0001140361-24-016119,https://www.sec.gov/Archives/edgar/data/1711269/000114036124016119/ny20016525x1_def14a.htm,2023,https://www.sec.gov/Archives/edgar/data/1711269/000114036124016119/ny20016525x1_def14a.htm,
334,1711269,Evergy,EVRG,"Kansas City, Missouri",DEF 14A,2025-03-27,0001140361-25-010682,https://www.sec.gov/Archives/edgar/data/1711269/000114036125010682/ny20038422x1_def14a.htm,2024,https://www.sec.gov/Archives/edgar/data/1711269/000114036125010682/ny20038422x1_def14a.htm,
335,1099800,Edwards Lifesciences,EW,"Irvine, California",DEF 14A,2024-03-26,0001099800-24-000032,https://www.sec.gov/Archives/edgar/data/1099800/000109980024000032/ew-20240325.htm,2023,https://www.sec.gov/Archives/edgar/data/1099800/000109980024000032/ew-20240325.htm,
336,1099800,Edwards Lifesciences,EW,"Irvine, California",DEF 14A,2025-03-26,0001099800-25-000013,https://www.sec.gov/Archives/edgar/data/1099800/000109980025000013/ew-20250325.htm,2024,https://www.sec.gov/Archives/edgar/data/1099800/000109980025000013/ew-20250325.htm,
337,1109357,Exelon,EXC,"Chicago, Illinois",DEF 14A,2024-03-20,0001109357-24-000076,https://www.sec.gov/Archives/edgar/data/1109357/000110935724000076/exc-20240320.htm,2023,https://www.sec.gov/Archives/edgar/data/1109357/000110935724000076/exc-20240320.htm,
338,1109357,Exelon,EXC,"Chicago, Illinois",DEF 14A,2025-03-19,0001109357-25-000074,https://www.sec.gov/Archives/edgar/data/1109357/000110935725000074/exc-20250319.htm,2024,https://www.sec.gov/Archives/edgar/data/1109357/000110935725000074/exc-20250319.htm,
339,895126,Expand Energy,EXE,"Oklahoma City, Oklahoma",DEF 14A,2024-04-26,0001104659-24-052456,https://www.sec.gov/Archives/edgar/data/895126/000110465924052456/tm242837-d3_def14a.htm,2023,https://www.sec.gov/Archives/edgar/data/895126/000110465924052456/tm242837-d3_def14a.htm,
340,895126,Expand Energy,EXE,"Oklahoma City, Oklahoma",DEF 14A,2025-04-25,0001104659-25-039048,https://www.sec.gov/Archives/edgar/data/895126/000110465925039048/tm252460d5_def14a.htm,2024,https://www.sec.gov/Archives/edgar/data/895126/000110465925039048/tm252460d5_def14a.htm,
341,746515,Expeditors International,EXPD,"Seattle, Washington",DEF 14A,2024-03-26,0000950170-24-036522,https://www.sec.gov/Archives/edgar/data/746515/000095017024036522/expd-20240326.htm,2023,https://www.sec.gov/Archives/edgar/data/746515/000095017024036522/expd-20240326.htm,
342,746515,Expeditors International,EXPD,"Seattle, Washington",DEF 14A,2025-03-25,0000950170-25-044161,https://www.sec.gov/Archives/edgar/data/746515/000095017025044161/expd-20250324.htm,2024,https://www.sec.gov/Archives/edgar/data/746515/000095017025044161/expd-20250324.htm,
343,1324424,Expedia Group,EXPE,"Seattle, Washington",DEF 14A,2024-04-29,0001324424-24-000017,https://www.sec.gov/Archives/edgar/data/1324424/000132442424000017/expe-20240428.htm,2023,https://www.sec.gov/Archives/edgar/data/1324424/000132442424000017/expe-20240428.htm,
344,1324424,Expedia Group,EXPE,"Seattle, Washington",DEF 14A,2025-04-21,0001324424-25-000019,https://www.sec.gov/Archives/edgar/data/1324424/000132442425000019/expe-20250421.htm,2024,https://www.sec.gov/Archives/edgar/data/1324424/000132442425000019/expe-20250421.htm,
345,1289490,Extra Space Storage,EXR,"Salt Lake City, Utah",DEF 14A,2024-04-03,0001628280-24-014598,https://www.sec.gov/Archives/edgar/data/1289490/000162828024014598/exr-20240403.htm,2023,https://www.sec.gov/Archives/edgar/data/1289490/000162828024014598/exr-20240403.htm,
346,1289490,Extra Space Storage,EXR,"Salt Lake City, Utah",DEF 14A,2025-04-01,0001628280-25-015917,https://www.sec.gov/Archives/edgar/data/1289490/000162828025015917/exr-20250401.htm,2024,https://www.sec.gov/Archives/edgar/data/1289490/000162828025015917/exr-20250401.htm,
347,37996,Ford Motor Company,F,"Dearborn, Michigan",DEF 14A,2024-03-29,0001104659-24-040871,https://www.sec.gov/Archives/edgar/data/37996/000110465924040871/tm2318496-d4_def14a.htm,2023,https://www.sec.gov/Archives/edgar/data/37996/000110465924040871/tm2318496-d4_def14a.htm,
348,37996,Ford Motor Company,F,"Dearborn, Michigan",DEF 14A,2025-03-28,0001104659-25-029100,https://www.sec.gov/Archives/edgar/data/37996/000110465925029100/tm2416981-6_def14a.htm,2024,https://www.sec.gov/Archives/edgar/data/37996/000110465925029100/tm2416981-6_def14a.htm,
349,1539838,Diamondback Energy,FANG,"Midland, Texas",DEF 14A,2024-04-25,0001308179-24-000579,https://www.sec.gov/Archives/edgar/data/1539838/000130817924000579/lfang2024_def14a.htm,2023,https://www.sec.gov/Archives/edgar/data/1539838/000130817924000579/lfang2024_def14a.htm,
350,1539838,Diamondback Energy,FANG,"Midland, Texas",DEF 14A,2025-04-10,0001308179-25-000434,https://www.sec.gov/Archives/edgar/data/1539838/000130817925000434/fang014060-def14a.htm,2024,https://www.sec.gov/Archives/edgar/data/1539838/000130817925000434/fang014060-def14a.htm,
351,815556,Fastenal,FAST,"Winona, Minnesota",DEF 14A,2024-03-06,0000815556-24-000015,https://www.sec.gov/Archives/edgar/data/815556/000081555624000015/fast-20240306.htm,2023,https://www.sec.gov/Archives/edgar/data/815556/000081555624000015/fast-20240306.htm,
352,815556,Fastenal,FAST,"Winona, Minnesota",DEF 14A,2025-02-26,0000815556-25-000070,https://www.sec.gov/Archives/edgar/data/815556/000081555625000070/fast-20250226.htm,2024,https://www.sec.gov/Archives/edgar/data/815556/000081555625000070/fast-20250226.htm,
353,831259,Freeport-McMoRan,FCX,"Phoenix, Arizona",DEF 14A,2024-04-26,0001193125-24-116028,https://www.sec.gov/Archives/edgar/data/831259/000119312524116028/d462053ddef14a.htm,2023,https://www.sec.gov/Archives/edgar/data/831259/000119312524116028/d462053ddef14a.htm,
354,831259,Freeport-McMoRan,FCX,"Phoenix, Arizona",DEF 14A,2025-04-25,0001193125-25-095175,https://www.sec.gov/Archives/edgar/data/831259/000119312525095175/d859132ddef14a.htm,2024,https://www.sec.gov/Archives/edgar/data/831259/000119312525095175/d859132ddef14a.htm,
355,1013237,FactSet,FDS,"Norwalk, Connecticut",DEF 14A,2023-10-27,0001013237-23-000130,https://www.sec.gov/Archives/edgar/data/1013237/000101323723000130/fds-20231026.htm,2023,https://www.sec.gov/Archives/edgar/data/1013237/000101323723000130/fds-20231026.htm,
356,1013237,FactSet,FDS,"Norwalk, Connecticut",DEF 14A,2024-10-30,0001013237-24-000145,https://www.sec.gov/Archives/edgar/data/1013237/000101323724000145/fds-20241029.htm,2024,https://www.sec.gov/Archives/edgar/data/1013237/000101323724000145/fds-20241029.htm,
357,1048911,FedEx,FDX,"Memphis, Tennessee",DEF 14A,2024-08-12,0001308179-24-000696,https://www.sec.gov/Archives/edgar/data/1048911/000130817924000696/fdx4341161-def14a.htm,2023,https://www.sec.gov/Archives/edgar/data/1048911/000130817924000696/fdx4341161-def14a.htm,
358,1031296,FirstEnergy,FE,"Akron, Ohio",DEF 14A,2024-03-29,0001193125-24-082179,https://www.sec.gov/Archives/edgar/data/1031296/000119312524082179/d433586ddef14a.htm,2023,https://www.sec.gov/Archives/edgar/data/1031296/000119312524082179/d433586ddef14a.htm,
359,1031296,FirstEnergy,FE,"Akron, Ohio",DEF 14A,2025-04-03,0001193125-25-071853,https://www.sec.gov/Archives/edgar/data/1031296/000119312525071853/d786829ddef14a.htm,2024,https://www.sec.gov/Archives/edgar/data/1031296/000119312525071853/d786829ddef14a.htm,
360,1048695,"F5, Inc.",FFIV,"Seattle, Washington",DEF 14A,2024-01-26,0001140361-24-004097,https://www.sec.gov/Archives/edgar/data/1048695/000114036124004097/ny20010228x1_def14a.htm,2023,https://www.sec.gov/Archives/edgar/data/1048695/000114036124004097/ny20010228x1_def14a.htm,
