slot,cik,company_name,ticker,industry,form_type,filing_date,accession_number,edgar_url,fiscal_year,source_url,raw_html_path
20,7084,Archer Daniels Midland,ADM,"Chicago, Illinois",DEF 14A,2025-03-25,0001193125-25-062691,https://www.sec.gov/Archives/edgar/data/7084/000119312525062691/d919406ddef14a.htm,2024,https://www.sec.gov/Archives/edgar/data/7084/000119312525062691/d919406ddef14a.htm,
21,8670,Automatic Data Processing,ADP,"Roseland, New Jersey",DEF 14A,2023-09-21,0001308179-23-000987,https://www.sec.gov/Archives/edgar/data/8670/000130817923000987/adp4229101-def14a.htm,2023,https://www.sec.gov/Archives/edgar/data/8670/000130817923000987/adp4229101-def14a.htm,
22,8670,Automatic Data Processing,ADP,"Roseland, New Jersey",DEF 14A,2024-09-19,0001308179-24-000714,https://www.sec.gov/Archives/edgar/data/8670/000130817924000714/adp4345811-def14a.htm,2024,https://www.sec.gov/Archives/edgar/data/8670/000130817924000714/adp4345811-def14a.htm,
23,769397,Autodesk,ADSK,"San Francisco, California",DEF 14A,2024-06-14,0000769397-24-000101,https://www.sec.gov/Archives/edgar/data/769397/000076939724000101/adsk-20240613.htm,2023,https://www.sec.gov/Archives/edgar/data/769397/000076939724000101/adsk-20240613.htm,
24,769397,Autodesk,ADSK,"San Francisco, California",DEF 14A,2025-05-06,0000769397-25-000058,https://www.sec.gov/Archives/edgar/data/769397/000076939725000058/adsk-20250505.htm,2024,https://www.sec.gov/Archives/edgar/data/769397/000076939725000058/adsk-20250505.htm,
25,1002910,Ameren,AEE,"St. Louis, Missouri",DEF 14A,2024-03-26,0001104659-24-039037,https://www.sec.gov/Archives/edgar/data/1002910/000110465924039037/tm242654d3_def14a.htm,2023,https://www.sec.gov/Archives/edgar/data/1002910/000110465924039037/tm242654d3_def14a.htm,
26,1002910,Ameren,AEE,"St. Louis, Missouri",DEF 14A,2025-03-25,0001104659-25-027821,https://www.sec.gov/Archives/edgar/data/1002910/000110465925027821/tm252331-3_def14a.htm,2024,https://www.sec.gov/Archives/edgar/data/1002910/000110465925027821/tm252331-3_def14a.htm,
27,4904,American Electric Power,AEP,"Columbus, Ohio",DEF 14A,2024-03-13,0000004904-24-000023,https://www.sec.gov/Archives/edgar/data/4904/000000490424000023/aep-20240313.htm,2023,https://www.sec.gov/Archives/edgar/data/4904/000000490424000023/aep-20240313.htm,
28,4904,American Electric Power,AEP,"Columbus, Ohio",DEF 14A,2025-03-13,0000004904-25-000043,https://www.sec.gov/Archives/edgar/data/4904/000000490425000043/aep-20250312.htm,2024,https://www.sec.gov/Archives/edgar/data/4904/000000490425000043/aep-20250312.htm,
29,874761,AES Corporation,AES,"Arlington, Virginia",DEF 14A,2024-03-14,0000874761-24-000023,https://www.sec.gov/Archives/edgar/data/874761/000087476124000023/aes-20240314.htm,2023,https://www.sec.gov/Archives/edgar/data/874761/000087476124000023/aes-20240314.htm,
30,874761,AES Corporation,AES,"Arlington, Virginia",DEF 14A,2025-03-19,0000874761-25-000019,https://www.sec.gov/Archives/edgar/data/874761/000087476125000019/aes-20250319.htm,2024,https://www.sec.gov/Archives/edgar/data/874761/000087476125000019/aes-20250319.htm,
31,4977,Aflac,AFL,"Columbus, Georgia",DEF 14A,2024-03-21,0000004977-24-000068,https://www.sec.gov/Archives/edgar/data/4977/000000497724000068/afl-20240320.htm,2023,https://www.sec.gov/Archives/edgar/data/4977/000000497724000068/afl-20240320.htm,
32,4977,Aflac,AFL,"Columbus, Georgia",DEF 14A,2025-03-20,0000004977-25-000059,https://www.sec.gov/Archives/edgar/data/4977/000000497725000059/afl-20250319.htm,2024,https://www.sec.gov/Archives/edgar/data/4977/000000497725000059/afl-20250319.htm,
33,5272,American International Group,AIG,"New York City, New York",DEF 14A,2024-04-02,0000005272-24-000034,https://www.sec.gov/Archives/edgar/data/5272/000000527224000034/aig-20240402.htm,2023,https://www.sec.gov/Archives/edgar/data/5272/000000527224000034/aig-20240402.htm,
34,5272,American International Group,AIG,"New York City, New York",DEF 14A,2025-04-02,0000005272-25-000025,https://www.sec.gov/Archives/edgar/data/5272/000000527225000025/aig-20250401.htm,2024,https://www.sec.gov/Archives/edgar/data/5272/000000527225000025/aig-20250401.htm,
35,1267238,Assurant,AIZ,"Atlanta, Georgia",DEF 14A,2024-04-04,0001267238-24-000019,https://www.sec.gov/Archives/edgar/data/1267238/000126723824000019/aiz-20240404.htm,2023,https://www.sec.gov/Archives/edgar/data/1267238/000126723824000019/aiz-20240404.htm,
36,1267238,Assurant,AIZ,"Atlanta, Georgia",DEF 14A,2025-04-08,0001267238-25-000018,https://www.sec.gov/Archives/edgar/data/1267238/000126723825000018/aiz-20250404.htm,2024,https://www.sec.gov/Archives/edgar/data/1267238/000126723825000018/aiz-20250404.htm,
37,354190,Arthur J. Gallagher & Co.,AJG,"Rolling Meadows, Illinois",DEF 14A,2024-03-22,0000950170-24-035183,https://www.sec.gov/Archives/edgar/data/354190/000095017024035183/ajg-20240322.htm,2023,https://www.sec.gov/Archives/edgar/data/354190/000095017024035183/ajg-20240322.htm,
38,354190,Arthur J. Gallagher & Co.,AJG,"Rolling Meadows, Illinois",DEF 14A,2025-03-24,0000950170-25-043725,https://www.sec.gov/Archives/edgar/data/354190/000095017025043725/ajg-20250324.htm,2024,https://www.sec.gov/Archives/edgar/data/354190/000095017025043725/ajg-20250324.htm,
39,1086222,Akamai Technologies,AKAM,"Cambridge, Massachusetts",DEF 14A,2024-03-28,0001193125-24-080562,https://www.sec.gov/Archives/edgar/data/1086222/000119312524080562/d873368ddef14a.htm,2023,https://www.sec.gov/Archives/edgar/data/1086222/000119312524080562/d873368ddef14a.htm,
40,1086222,Akamai Technologies,AKAM,"Cambridge, Massachusetts",DEF 14A,2025-04-01,0001193125-25-070445,https://www.sec.gov/Archives/edgar/data/1086222/000119312525070445/d882861ddef14a.htm,2024,https://www.sec.gov/Archives/edgar/data/1086222/000119312525070445/d882861ddef14a.htm,
41,915913,Albemarle Corporation,ALB,"Charlotte, North Carolina",DEF 14A,2024-03-26,0000915913-24-000089,https://www.sec.gov/Archives/edgar/data/915913/000091591324000089/alb-20240326.htm,2023,https://www.sec.gov/Archives/edgar/data/915913/000091591324000089/alb-20240326.htm,
42,915913,Albemarle Corporation,ALB,"Charlotte, North Carolina",DEF 14A,2025-03-27,0000915913-25-000072,https://www.sec.gov/Archives/edgar/data/915913/000091591325000072/alb-20250327.htm,2024,https://www.sec.gov/Archives/edgar/data/915913/000091591325000072/alb-20250327.htm,
43,1097149,Align Technology,ALGN,"Tempe, Arizona",DEF 14A,2024-04-09,0001097149-24-000018,https://www.sec.gov/Archives/edgar/data/1097149/000109714924000018/algn-20240409.htm,2023,https://www.sec.gov/Archives/edgar/data/1097149/000109714924000018/algn-20240409.htm,
44,1097149,Align Technology,ALGN,"Tempe, Arizona",DEF 14A,2025-04-08,0001097149-25-000021,https://www.sec.gov/Archives/edgar/data/1097149/000109714925000021/algn-20250407.htm,2024,https://www.sec.gov/Archives/edgar/data/1097149/000109714925000021/algn-20250407.htm,
45,899051,Allstate,ALL,"Northbrook, Illinois",DEF 14A,2024-04-01,0001308179-24-000404,https://www.sec.gov/Archives/edgar/data/899051/000130817924000404/all4258441-def14a.htm,2023,https://www.sec.gov/Archives/edgar/data/899051/000130817924000404/all4258441-def14a.htm,
46,899051,Allstate,ALL,"Northbrook, Illinois",DEF 14A,2025-04-17,0000899051-25-000030,https://www.sec.gov/Archives/edgar/data/899051/000089905125000030/all-20250417.htm,2024,https://www.sec.gov/Archives/edgar/data/899051/000089905125000030/all-20250417.htm,
47,1579241,Allegion,ALLE,"Dublin, Ireland",DEF 14A,2024-04-19,0001579241-24-000020,https://www.sec.gov/Archives/edgar/data/1579241/000157924124000020/alle-20240419.htm,2023,https://www.sec.gov/Archives/edgar/data/1579241/000157924124000020/alle-20240419.htm,
48,1579241,Allegion,ALLE,"Dublin, Ireland",DEF 14A,2025-04-18,0001104659-25-036159,https://www.sec.gov/Archives/edgar/data/1579241/000110465925036159/tm254848-2_def14a.htm,2024,https://www.sec.gov/Archives/edgar/data/1579241/000110465925036159/tm254848-2_def14a.htm,
49,6951,Applied Materials,AMAT,"Santa Clara, California",DEF 14A,2024-01-24,0001193125-24-014287,https://www.sec.gov/Archives/edgar/data/6951/000119312524014287/d633899ddef14a.htm,2023,https://www.sec.gov/Archives/edgar/data/6951/000119312524014287/d633899ddef14a.htm,
50,6951,Applied Materials,AMAT,"Santa Clara, California",DEF 14A,2025-01-22,0001193125-25-010409,https://www.sec.gov/Archives/edgar/data/6951/000119312525010409/d885312ddef14a.htm,2024,https://www.sec.gov/Archives/edgar/data/6951/000119312525010409/d885312ddef14a.htm,
51,1748790,Amcor,AMCR,"Warmley,Bristol, United Kingdom",DEF 14A,2023-09-26,0001308179-23-001004,https://www.sec.gov/Archives/edgar/data/1748790/000130817923001004/lamcr2023_def14a.htm,2023,https://www.sec.gov/Archives/edgar/data/1748790/000130817923001004/lamcr2023_def14a.htm,
52,1748790,Amcor,AMCR,"Warmley,Bristol, United Kingdom",DEF 14A,2024-09-24,0001748790-24-000027,https://www.sec.gov/Archives/edgar/data/1748790/000174879024000027/amcr-20240924.htm,2024,https://www.sec.gov/Archives/edgar/data/1748790/000174879024000027/amcr-20240924.htm,
53,2488,Advanced Micro Devices,AMD,"Santa Clara, California",DEF 14A,2024-03-25,0001193125-24-076513,https://www.sec.gov/Archives/edgar/data/2488/000119312524076513/d653280ddef14a.htm,2023,https://www.sec.gov/Archives/edgar/data/2488/000119312524076513/d653280ddef14a.htm,
54,2488,Advanced Micro Devices,AMD,"Santa Clara, California",DEF 14A,2025-03-28,0001193125-25-067170,https://www.sec.gov/Archives/edgar/data/2488/000119312525067170/d869673ddef14a.htm,2024,https://www.sec.gov/Archives/edgar/data/2488/000119312525067170/d869673ddef14a.htm,
